measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,18,Thailand,3,Both,22,All Ages,962,Maternal and neonatal disorders,1,Number,1990,12022.314844680273,14683.144627408214,9791.344399408623
1,Deaths,18,Thailand,3,Both,22,All Ages,962,Maternal and neonatal disorders,3,Rate,1990,21.137790375267805,25.81609591776985,17.215269112531377
1,Deaths,20,Viet Nam,3,Both,22,All Ages,294,All causes,1,Number,1990,432520.48297007574,487561.0040794622,382708.5651578427
1,Deaths,20,Viet Nam,3,Both,22,All Ages,294,All causes,3,Rate,1990,636.602019498122,717.6129964855143,563.2867229447891
1,Deaths,12,Lao People's Democratic Republic,3,Both,22,All Ages,294,All causes,1,Number,1993,58713.57857982684,64607.48494999499,52771.36893483949
1,Deaths,12,Lao People's Democratic Republic,3,Both,22,All Ages,294,All causes,3,Rate,1993,1299.7342459694796,1430.2068238149964,1168.1923853107985
1,Deaths,12,Lao People's Democratic Republic,3,Both,22,All Ages,962,Maternal and neonatal disorders,1,Number,1993,7545.534999719636,9090.521047162472,6098.060426018932
1,Deaths,12,Lao People's Democratic Republic,3,Both,22,All Ages,962,Maternal and neonatal disorders,3,Rate,1993,167.0344489386402,201.23558816363771,134.99190751781674
1,Deaths,16,Philippines,3,Both,22,All Ages,294,All causes,1,Number,1992,367153.1578359814,387471.0367825991,346432.6263407536
1,Deaths,16,Philippines,3,Both,22,All Ages,294,All causes,3,Rate,1992,552.9648184802653,583.5653240290683,521.757882920714
1,Deaths,16,Philippines,3,Both,22,All Ages,962,Maternal and neonatal disorders,1,Number,1992,31899.85858550428,36397.962568594296,27570.763726948557
1,Deaths,16,Philippines,3,Both,22,All Ages,962,Maternal and neonatal disorders,3,Rate,1992,48.043981471513206,54.81852010594852,41.523985383901014
1,Deaths,11,Indonesia,3,Both,22,All Ages,962,Maternal and neonatal disorders,1,Number,1994,114674.77133630578,129692.93093602042,102090.5474728783
1,Deaths,11,Indonesia,3,Both,22,All Ages,962,Maternal and neonatal disorders,3,Rate,1994,58.256910714022496,65.8864143327712,51.86389159156052
1,Deaths,15,Myanmar,3,Both,22,All Ages,294,All causes,1,Number,1993,516724.2345775407,585152.5332029763,448895.98448549915
1,Deaths,15,Myanmar,3,Both,22,All Ages,294,All causes,3,Rate,1993,1204.881027357098,1364.4399433725628,1046.7212853013586
1,Deaths,12,Lao People's Democratic Republic,3,Both,22,All Ages,962,Maternal and neonatal disorders,1,Number,1994,7526.691484158121,9020.03358003557,6132.500180114036
1,Deaths,12,Lao People's Democratic Republic,3,Both,22,All Ages,962,Maternal and neonatal disorders,3,Rate,1994,162.47235412848752,194.70787306094942,132.37711988774936
1,Deaths,19,Timor-Leste,3,Both,22,All Ages,962,Maternal and neonatal disorders,1,Number,1992,1055.9286682127154,1244.0054302138797,867.1159691587843
1,Deaths,19,Timor-Leste,3,Both,22,All Ages,962,Maternal and neonatal disorders,3,Rate,1992,129.0883941245305,152.08097677688548,106.00584239076123
1,Deaths,15,Myanmar,3,Both,22,All Ages,962,Maternal and neonatal disorders,1,Number,1993,39715.70904418231,50030.32480862501,30335.13774017132
1,Deaths,15,Myanmar,3,Both,22,All Ages,962,Maternal and neonatal disorders,3,Rate,1993,92.6078188581441,116.65910967715526,70.73450300870667
1,Deaths,10,Cambodia,3,Both,22,All Ages,294,All causes,1,Number,1991,114313.95470981565,122251.84893882595,106129.62769163735
1,Deaths,10,Cambodia,3,Both,22,All Ages,294,All causes,3,Rate,1991,1074.8320560136244,1149.4677660303419,997.8792722667336
1,Deaths,11,Indonesia,3,Both,22,All Ages,294,All causes,1,Number,1994,1360995.3108750728,1430989.5541461292,1287616.1832621484
1,Deaths,11,Indonesia,3,Both,22,All Ages,294,All causes,3,Rate,1994,691.4108603306217,726.9692340968883,654.1329025391717
1,Deaths,16,Philippines,3,Both,22,All Ages,962,Maternal and neonatal disorders,1,Number,1993,32116.501333672262,36010.16255994637,28035.433174536058
1,Deaths,16,Philippines,3,Both,22,All Ages,962,Maternal and neonatal disorders,3,Rate,1993,47.21862469088506,52.943199924244325,41.2185182738721
1,Deaths,18,Thailand,3,Both,22,All Ages,294,All causes,1,Number,1993,337626.04456106,361658.4846155204,315667.79319541925
1,Deaths,18,Thailand,3,Both,22,All Ages,294,All causes,3,Rate,1993,571.5590133536872,612.2429533141453,534.3864175551778
